AVERAGE ANNUAL TEMPERATURE, CENTRAL ENGLAND, 1723-1970                          
      9.77      9.27      8.66      9.34      9.94      9.52      9.26          
     10.04      9.85      9.69     10.47      9.80      9.54     10.30          
      9.92      9.81      9.20      6.84      9.30      8.36      9.81          
      8.78      8.81      8.61      9.82      8.77      9.44      9.69          
      8.42      9.19      9.08      8.83      8.54      8.77      8.95          
      8.95     10.00      9.83     10.00      9.58      8.93      8.72          
      8.50      8.62      8.69      8.93      8.77      8.51      8.55          
      9.15      9.24      9.07     10.09      9.01      9.08      9.20          
     10.40      9.09     10.20      8.01      9.28      7.83      8.54          
      8.25      9.28      9.21      8.91      9.44      9.27      9.19          
      9.09      9.89      8.67      9.02      9.00      9.61      7.89          
      9.23      9.60      8.95      9.05      9.57      8.97      9.80          
      8.64      8.84      8.93      8.76      9.67      8.20      8.71          
      7.75      9.06      7.87      8.89      9.84      9.23      8.55          
      9.51     10.05      8.37      9.31      9.72     10.07      9.46          
     10.30      8.16      8.69     10.09      9.47      9.49     10.47          
      9.55      8.86      8.82      8.05      8.68      8.97      8.71          
      9.22      9.06      8.59      8.26     10.15      9.22      9.42          
      9.30      9.10      9.14      9.80      8.37      9.31      8.02          
      9.08     10.07      9.12      9.61      7.89      9.12      9.17          
      9.67      8.85      9.69      9.65      9.02     10.38      9.62          
      8.98      9.05      9.75      8.98      9.30      9.43      9.51          
      9.17      9.24      7.42      9.09      8.56      9.45      9.02          
      9.83      8.57      8.69      8.27      8.22      8.99      8.73          
      8.49      8.17      9.97      9.30      8.65      9.33      9.42          
     10.07      9.69      9.56      9.11      8.83      9.32      9.00          
      9.13      9.43      8.84      9.36      8.55      9.12     10.05          
      9.36      9.78      9.88      8.93      9.18      8.51      9.51          
      8.48      9.57     10.47      8.67      9.08      9.27      9.17          
      9.72      9.20      9.57      9.01      9.43      8.99      9.38          
      9.83      9.99      9.72      9.32      9.57     10.18      9.68          
      9.05      9.09      9.05     10.03      9.57     10.27      9.45          
      9.57     10.01     10.62      9.41      9.27      9.09      9.84          
      9.22      9.28      8.83     10.02      9.42     10.48      9.73          
      9.94      8.59      8.47      9.47      8.95      9.45      9.61          
      9.30      9.26      9.57                                                  
