MUD VARVE DATA, SWEDISH TIME SCALE, ESPANOLA, CANADA, -204 TO -908, 668 YEARS   
     20.00     24.00     24.00     22.00     29.00     17.00     17.00     37.00
     30.00     23.00     22.00     26.00     51.00     51.00     36.00     21.00
     24.00     31.00     21.00     22.00     21.00     10.00     12.00     15.00
     10.00     14.00     10.00     19.00     12.00     20.00     11.00     17.00
     19.00     20.00     21.00     15.00     17.00     12.00     14.00     13.00
     16.00     14.00     11.00     21.00     20.00     11.00     24.00     22.00
     14.00     10.00     20.00      4.00     14.00     14.00     10.00     19.00
     10.00     16.00     19.00     20.00     11.00     18.00     17.00     16.00
     15.00     20.00     12.00     18.00     18.00     16.00     23.00     19.00
     23.00     17.00     35.00     52.00     16.00     16.00     29.00     33.00
     15.00     21.00     14.00     15.00     18.00     15.00     15.00     18.00
     30.00     20.00      9.00     15.00     14.00     11.00     14.00     11.00
     10.00     15.00     10.00     16.00     24.00     14.00     22.00     13.00
     37.00     30.00     16.00     16.00     45.00     22.00     10.00      9.00
     11.00     21.00     14.00     15.00     20.00     19.00     25.00     20.00
     14.00     10.00     15.00      7.00      8.00     10.00     12.00     14.00
     16.00      7.00      9.00      9.00     10.00     16.00     16.00     14.00
     17.00     19.00     15.00     19.00     15.00     18.00     20.00     20.00
     14.00      9.00      7.00     10.00     21.00     12.00     15.00      9.00
     12.00     11.00     21.00     22.00     14.00     17.00     16.00     15.00
     29.00     20.00     17.00     30.00     18.00     21.00     11.00     10.00
     15.00     12.00     31.00     20.00     11.00     15.00     16.00     14.00
     10.00     16.00     28.00     43.00     18.00     24.00     13.00     21.00
     14.00     13.00     13.00     23.00     15.00     12.00     20.00     11.00
     12.00     25.00     21.00     25.00     14.00     11.00     15.00     11.00
     16.00     20.00     12.00     23.00     18.00     10.00     14.00     11.00
     13.00     15.00     17.00     15.00     16.00     21.00     17.00     21.00
     21.00     22.00     28.00     22.00     28.00     17.00     32.00     34.00
     22.00     23.00     50.00     21.00     17.00     31.00      9.00      6.00
     28.00     14.00     14.00     11.00      9.00      8.00     10.00      4.00
      3.00      5.00      4.00      2.00      4.00      5.00      2.00      3.00
      5.00      3.00      4.00      4.00      6.00     10.00      5.00      4.00
