YEARLY SUNSPOT-RELATIVE NUMBERS   1700-1960                                     
   5.  11.  16.  23.  36.  58.  29.  20.  10.   8.   3.   0.   0.   2.          
  11.  27.  47.  63.  60.  39.  28.  26.  22.  11.  21.  40.  78. 122.          
 103.  73.  47.  35.  11.   5.  16.  34.  70.  81. 111. 101.  73.  40.          
  20.  16.   5.  11.  22.  40.  60.  81.  83.  48.  48.  31.  12.  10.          
  10.  32.  48.  54.  63.  86.  61.  45.  36.  21.  11.  38.  70. 106.          
 101.  82.  67.  35.  31.   7.  20.  93. 154. 126.  85.  68.  39.  23.          
  10.  24.  83. 132. 131. 118.  90.  67.  60.  47.  41.  21.  16.   6.          
   4.   7.  15.  34.  45.  43.  48.  42.  28.  10.   8.   3.   0.   1.          
   5.  12.  14.  35.  46.  41.  30.  24.  16.   7.   4.   2.   9.  17.          
  36.  50.  64.  67.  71.  48.  28.   9.  13.  57. 122. 138. 103.  86.          
  65.  37.  24.  11.  15.  40.  62.  99. 125.  96.  67.  65.  54.  39.          
  21.   7.   4.  23.  55.  94.  96.  77.  59.  44.  47.  31.  16.   7.          
  38.  74. 139. 111. 102.  66.  45.  17.  11.  12.   3.   6.  32.  54.          
  60.  64.  64.  52.  25.  13.   7.   6.   7.  36.  73.  85.  78.  64.          
  42.  26.  27.  12.  10.   3.   5.  24.  42.  64.  54.  62.  49.  44.          
  19.   6.   4.   1.  10.  47.  57. 104.  81.  64.  38.  26.  14.   6.          
  17.  44.  64.  69.  78.  65.  36.  21.  11.   6.   9.  36.  80. 114.          
 110.  89.  68.  48.  31.  16.  10.  33.  93. 152. 136. 135.  84.  69.          
  32.  14.   4.  38. 142. 190. 185. 159. 112.                                   
