NIAGARA RIVER AT QUEENSTON - STATION NO. 02HA003, 1860-1990
#MONTHLY MEAN DISCHARGES IN CUBIC METRES PER SECOND FOR THE PERIOD OF RECORD                                  
#LOCATION -  LAT   43:09:25N    DRAINAGE AREA    686000 km2   
#            LONG  079:02:50W   REGULATED SINCE 1955     
     6650     6260     6570     6820     7190     7110     6940     6910     6680     6480     6880     6570     6760   1860
     6230     5890     6230     6820     7190     7140     6970     6880     6910     6940     6940     6850     6750   1861
     6770     6400     6540     7080     7310     7220     7220     7020     6910     6710     6600     6650     6870   1862
     6800     6820     6820     6820     6850     6880     6630     6680     6430     6230     6340     6260     6630   1863
     5890     5830     6000     6260     6850     6740     6460     6400     6290     6170     6230     6290     6290   1864
     5830     5300     5550     5950     6310     6370     6260     6170     6140     6090     6000     6030     6000   1865
     5660     5440     5720     6000     6260     6430     6340     6290     6170     6230     6230     6400     6100   1866
     6030     5660     5970     6120     6540     6740     6540     6310     6090     5970     6030     5750     6150   1867
     5440     5070     5470     5920     6310     6570     6400     6230     6120     5920     5890     5780     5930   1868
     5580     5380     5750     5860     6230     6400     6570     6570     6340     6400     6140     6400     6140   1869
     6370     6370     6290     6630     6850     6800     6740     6710     6600     6460     6460     6400     6560   1870
     6090     5720     6060     6290     6570     6540     6460     6370     6290     5950     6000     5780     6180   1871
     5550     5240     5240     5300     5660     5830     5750     5750     5660     5640     5610     5520     5560   1872
     5240     5100     5210     5920     6460     6460     6370     6340     6140     6030     6090     6370     5980   1873
     6430     6310     6400     6430     6570     6570     6510     6400     6170     5970     5890     5800     6290   1874
     5470     5210     5350     5520     5920     6120     6140     6140     6120     5890     5970     6170     5840   1875
     5950     6140     6630     6910     7220     7250     7080     6910     6850     6570     6820     6650     6750   1876
     6140     5950     5830     6030     6290     6290     6370     6290     6290     6140     6260     6370     6190   1877
     6230     6170     6290     6480     6770     6710     6630     6480     6460     6310     6370     6480     6450   1878
     6030     5780     5830     6000     6170     6200     6140     6000     5830     5800     5690     5890     5950   1879
     6000     5890     6030     6060     6310     6340     6340     6170     6090     5950     6090     5920     6100   1880
     5470     5380     5640     5950     6310     6460     6340     6120     5950     6030     6090     6260     6000   1881
     6400     6230     6600     6650     6880     6940     6850     6770     6650     6460     6430     6140     6590   1882
     5890     5860     6060     6060     6460     6850     6910     6880     6740     6630     6570     6630     6470   1883
     6230     6230     6400     6680     6970     6970     6740     6650     6430     6310     6170     6170     6500   1884
     5890     5610     5550     6000     6570     6880     6770     6800     6740     6770     6880     6880     6450   1885
     6710     6090     6000     6510     6800     6820     6740     6600     6480     6430     6430     6430     6510   1886
     6090     6230     6680     6650     6850     6880     6650     6430     6260     6340     6060     6060     6430   1887
     5920     5520     5640     6030     6200     6260     6290     6230     6060     5950     5920     6120     6010   1888
     5890     5750     5580     5780     5970     6230     6120     6120     5890     5610     5640     5830     5870   1889
     6120     6000     6230     6370     6680     6850     6540     6260     6060     6090     6290     6120     6300   1890
     5800     5750     5920     5970     5920     5830     5830     5690     5580     5410     5410     5470     5710   1891
     5300     4840     5070     5320     5920     6370     6400     6170     6060     5860     5720     5660     5730   1892
     5100     5040     5300     5690     6230     6400     6230     5830     5750     5720     5720     5720     5730   1893
     5610     5380     5520     5610     5950     6230     6000     5720     5660     5690     5640     5490     5710   1894
     5350     4870     4930     5010     5320     5320     5180     5130     5180     5070     4810     5040     5100   1895
     4980     4870     4790     5070     5440     5380     5380     5550     5320     5180     5270     5150     5200   1896
     5270     4980     5380     5660     6030     5950     5830     5780     5610     5350     5410     5410     5560   1897
     5350     5300     5640     5970     6140     6120     5860     5830     5660     5640     5660     5720     5740   1898
     5610     5180     5520     5580     5860     5920     5780     5550     5490     5270     5350     5610     5560   1899
     5380     5300     5490     5660     5860     5860     5750     5720     5610     5380     5550     5520     5590   1900
     5380     4870     4900     4980     5150     5410     5410     5320     5380     5300     5270     5270     5220   1901
     5180     4760     4960     5300     5520     5640     5950     5920     5750     5830     5720     5660     5520   1902
     5580     5350     5690     6120     6230     6230     6120     5950     5920     5830     5660     5660     5860   1903
