QUARTERLY CONSUMER EXPENDITURE ON Col(1) DURABLE GOODS, Col(2) ALL OTHER GOODS AND SERVICES,						
Col(3) INVESTMENT,Col(4) INVENTORY INVESTMENT, Col(5) IMPORTS OF GOODS AND SERVICES,						
 Col(6) GROSS DOMESTIC PRODUCT, Col(7) PERSONAL DISPOSABLE INCOME,						
215	3259	857	195	1154	4918	3761.41
256	3483	847	108	1115	5121	4029.25
255	3523	847	49	1159	4987	3917.05
279	3715	918	-102	1109	5138	4062.65
265	3323	865	99	1110	4908	3866.41
285	3514	844	15	1115	4955	4040.81
270	3584	859	66	1183	5051	4009.16
355	3766	924	-69	1178	5189	4114.05
304	3391	865	67	1147	4891	3948.53
367	3660	914	74	1238	5204	4324.37
335	3691	932	44	1239	5189	4238.78
403	3929	1057	-6	1263	5517	4401.34
391	3548	997	170	1333	5241	4217.02
403	3817	992	189	1380	5495	4591.04
342	3846	1028	157	1396	5438	4519.23
329	4059	1115	79	1363	5675	4700.24
353	3694	1089	162	1389	5444	4474.9
400	3912	1105	151	1378	5726	4740.4
341	3955	1157	50	1362	5673	4761.02
325	4147	1173	-38	1303	5813	4793.31
347	3739	1114	17	1359	5427	4479.23
422	3997	1114	53	1390	5817	4742.23
359	4032	1130	76	1418	5752	4762.34
384	4237	1142	-73	1369	5875	4929.56
424	3799	1013	23	1358	5550	4655.94
519	4125	1121	77	1430	6013	4948
467	4204	1177	9	1496	5928	5055.64
445	4392	1271	97	1459	6333	5165.79
508	3973	1304	126	1531	6033	4961.56
567	4246	1283	202	1577	6360	5177.76
491	4294	1347	153	1599	6259	5188.56
469	4534	1432	100	1559	6567	5376.63
558	4057	1413	93	1504	6234	5176.87
533	4332	1344	119	1592	6527	5293.84
468	4413	1360	135	1645	6483	5254.15
439	4621	1463	18	1580	6708	5449.87
554	4191	1412	101	1622	6430	5524.14
596	4480	1364	77	1603	6599	5403.09
440	4484	1420	125	1687	6582	5272.15
388	4678	1473	-76	1507	6851	5378.97
482	4227	1477	52	1688	6479	5251.36
539	4519	1485	88	1737	6775	5468.22
520	4566	1486	5	1693	6679	5507.19
537	4821	1546	-41	1665	6856	5644.44
