U.S. T BILLS, HIGH
 91.91  91.68  91.57  91.43  91.50  91.18  91.05  91.17  91.15  91.13  91.27    
 91.15  90.88  90.82  90.89  90.92  90.83  90.55  90.34  90.18  90.22  89.86    
 89.60  89.51  89.30  89.16  89.31  89.75  89.75  89.68  89.60  89.31  89.42    
 89.61  89.45  89.11  88.72  88.77  88.91  88.82  89.12  88.69  88.56  88.75    
 88.64  87.95  87.91  88.25  88.30  88.22  88.78  89.38  89.37  89.22  89.46    
 89.45  89.38  89.68  89.72  89.79  89.39  89.15  89.23  89.06  88.80  88.64    
 88.18  87.80  87.92  87.53  87.60  87.19  87.67  87.07  87.48  87.70  87.90    
 88.15  87.99  87.88  87.18  87.47  87.62  87.50  87.10  87.16  87.38  87.18    
 87.07  86.87  86.66  86.79  86.88  86.60  86.42  85.90  85.61  84.75  85.32    
 85.54                                                                          
