U.S. TREASURY BILLS MAR,81, LOW
 91.56  91.53  91.35  91.26  91.14  90.85  90.75  90.76  90.97  90.98  91.09    
 90.90  90.71  90.56  90.68  90.76  90.70  90.20  90.08  90.01  89.56  89.64    
 89.38  89.33  89.14  88.67  88.50  89.18  89.46  89.42  89.18  89.10  89.11    
 89.27  89.15  88.84  88.47  88.42  88.60  88.52  88.80  88.47  88.34  88.51    
 88.12  87.73  87.62  87.91  88.02  87.95  88.18  88.90  89.12  88.91  89.20    
 89.25  89.16  89.27  89.43  89.38  88.95  88.83  88.95  88.54  88.42  88.40    
 87.92  87.55  87.50  87.34  87.26  87.00  86.77  86.61  86.85  87.25  87.60    
 87.77  87.80  87.37  86.83  86.98  87.28  87.20  86.80  86.68  87.00  86.87    
 86.70  86.33  86.22  86.45  86.55  86.33  86.00  85.42  85.00  84.42  84.48    
 85.08                                                                         
