US Hog data
U.S. Hog Data (Data taken by Quennoille)
    82
(15F5.0)
  538  522  513  529  565  594  600  584  554  553  595  637  641  647  634   
  629  638  662  675  658  629  625  648  682  676  655  64O  668  678  692   
  710  727  712  708  705  680  682  713  726  729  752  766  720  682  743   
  743  730  723  753  782  760  799  808  779  770  777  841  823  746  717   
  744  791  771  746  739  773  793  768  592  633  634  649  699  786  735   
  782  869  923  774  787  754  737   
(14F5.0)
  597  509  663  751  739  598  556  594  667  776  754  689  498  643
  681  778  829  751  704  633  663  709  763  681  627  667  804  782
  707  653  639  672  669  729  784  842  886  784  770  783  877  777
  810  957  970  903  995 1022  998  928 1073 1294 1346 1301 1134 1024
 1090 1013 1119 1195 1235 1120 1112 1129 1055  787  624  612  800 1104
 1075 1052 1048  891  921 1193 1352 1243 1314 1380 1556 1632
(14F5.0)
  944  841  911  768  718  634  735  858  673  609  604  457  612  642
  849  733  672  594  559  604  678  571  490  747  651  645  609  705
  453  382  466  506  525  595  829  654  673  691  660  643  754  813
  790  712  831  742  847  850  830 1056 1163 1182 1180  805  714  865
  911 1027  846  869  928  924  903  777  507  500  716  911  816 1019
  714  687  754  791  876  962 1050 1037 1104 1193 1334 1114
(14F5.0)
  900  964  893 1051 1057 1107 1003 1025 1161 1170 1181 1194 1244 1232
 1095 1244 1218 1289 1313 1251 1205 1352 1361 1218 1368 1278 1279 1208
 1404 1427 1359 1371 1423 1425 1234 1443 1401 1429 1470 1482 1417 1409
 1417 1455 1394 1469 1357 1402 1452 1385 1464 1388 1428 1487 1467 1432
 1459 1347 1447 1406 1418 1426 1401 1318 1411 1467 1380 1161 1362 1178
 1422 1406 1412 1390 1424 1487 1472 1490 1458 1507 1372 1557
(14F5.0)
  722  719  716  724  732  740  748  756  748  740  732  744  756  778
  799  799  799  799  801  803  806  806  806  810  813  810  806  771
  771  780  789  799  820  834  848  863  884  906  928  949  960  971
  982  987  991 1004 1013 1004 1013 1053 1149 1248 1316 1384 1190 1179
 1228 1238 1246 1253 1253 1253 1255 1223 1114  982  929  978 1013 1045
 1100 1097 1090 1100 1188 1303 1422 1498 1544 1582 1607 1629
