No. of acres burned in forest fires in CANADA (excl. Yukon & NWT) 1918-1988
                  563000 7590000 1708000
 2142000 3323000 6197000 1985000 1316000
 1824000  472000 1346000 6029000 2670000
 2094000 2464000 1009000 1475000  856000
 3027000 4271000 3126000 1115000 2691000
 4253000 1838000  828000 2403000  742000
 1017000  613000 3185000 2599000 2227000
  896000  975000 1358000  264000 1375000
 2016000  452000 3292000  538000 1471000
 9313000  864000  470000 2993000  521000
 1144000 2212000 2212000 2331000 2616000
 2445000 1927000  808000 1963000  898000
 2764000 2073000  500000 1740000 8592000
10856000 2818000 2284000 1419000 1328000
 1329000 1479000 3084000
