Alcohol Demand, UK, 1870-1938. logs: Q(demand),P(r.price),Y(r.income) 
#empirical demand function for alcoholic spirits, U.K., 1870-1938
#source: Durbin & Watson (1951, Table 1) Biometrika, V.38, pp.159-78
#"Testing for serial correlation in least squares regression II"
#
# spirits =  log consumption per head
# income  =  log real income per head
# price   =  log real price
#
#  spirits,  income,   price
 1.9565 1.9794 2.0120 2.0449 2.0561 2.0678 2.0561 2.0428 2.0290 1.9980          
 1.9884 1.9835 1.9773 1.9748 1.9629 1.9396 1.9309 1.9271 1.9239 1.9414          
 1.9685 1.9727 1.9736 1.9499 1.9432 1.9569 1.9647 1.9710 1.9719 1.9956          
 2.0000 1.9904 1.9752 1.9494 1.9332 1.9139 1.9091 1.9139 1.8886 1.7945          
 1.7644 1.7817 1.7784 1.7945 1.7888 1.8751 1.7853 1.6075 1.5185 1.6513          
 1.6247 1.5391 1.4922 1.4606 1.4551 1.4425 1.4023 1.3991 1.3798 1.3782          
 1.3366 1.3026 1.2592 1.2635 1.2549 1.2527 1.2763 1.2906 1.2721                 
 1.7669 1.7766 1.7764 1.7942 1.8156 1.8083 1.8083 1.8067 1.8166 1.8041          
 1.8053 1.8242 1.8395 1.8464 1.8492 1.8668 1.8783 1.8914 1.9166 1.9363          
 1.9548 1.9453 1.9292 1.9209 1.9510 1.9776 1.9814 1.9819 1.9828 2.0076          
 2.0000 1.9939 1.9933 1.9797 1.9772 1.9924 2.0117 2.0204 2.0018 2.0038          
 2.0099 2.0174 2.0279 2.0359 2.0216 1.9896 1.9843 1.9764 1.9965 2.0652          
 2.0369 1.9723 1.9797 2.0136 2.0165 2.0213 2.0206 2.0563 2.0579 2.0649          
 2.0582 2.0517 2.0491 2.0766 2.0890 2.1059 2.1205 2.1205 2.1182                 
 1.9176 1.9059 1.8798 1.8727 1.8984 1.9137 1.9176 1.9176 1.9420 1.9547          
 1.9379 1.9462 1.9504 1.9504 1.9723 2.0000 2.0097 2.0146 2.0146 2.0097          
 2.0097 2.0097 2.0048 2.0097 2.0296 2.0399 2.0399 2.0296 2.0146 2.0245          
 2.0000 2.0048 2.0048 2.0000 1.9952 1.9952 1.9905 1.9813 1.9905 1.9859          
 2.0518 2.0474 2.0341 2.0255 2.0341 1.9445 1.9939 2.2082 2.2700 2.2430          
 2.2567 2.2988 2.3723 2.4105 2.4081 2.4081 2.4367 2.4284 2.4310 2.4363          
 2.4552 2.4838 2.4958 2.5048 2.5017 2.4958 2.4838 2.4636 2.4580                 
