FRENCH BROAD RIVER AT ASHEVILLE, N.C.                                           
1420   2090   1820   3160   2430                                                
3670   2550   2890   1230   1840                                                
2890   2120   2360   2840   2010                                                
1520   2220   2080   1400   2870                                                
3490   1910   1640   3070   2230                                                
2270   2190   1900   2010   1310                                                
1210   1440   2530   2470   1840                                                
1350   1640   2490   1640   2071                                                
2280   2469   1797   1913   1582                                                
1329   1892   2353   1628   1486                                                
2340   1538   2024   3122   2286                                                
1688   2039   1560   1457   1383                                                
1166   1867   2343   1718   2430                                                
2125   2398   1568   2009   2673                                                
