Annual sunspot numbers, 1700-1988
 5.0    103.0   10.2    10.2    5.0     64.6    37.6    41.8    16.7    31.5    154.7
 11.0   73.0    32.4    24.1    12.2    36.7    74.0    26.2    44.3    13.9    140.5
 16.0   47.0    47.6    82.9    13.9    24.2    139.0   26.7    63.9    4.4     115.9
 23.0   35.0    54.0 1  32.0    35.4    10.7    111.2   12.1    69.0    38.0    66.6
 36.0   11.0    62.9    130.9   45.8    15.0    101.6   9.5     77.8    141.7   45.9
 58.0   5.0     85.9    118.1   41.1    40.1    66.2    2.7     64.9    190.2   17.9
 29.0   16.0    61.2    89.9    30.1    61.5    44.7    5.0     35.7    184.8   13.4
 20.0   34.0    45.1    66.6    23.9    98.5    17.0    24.4    21.2    159.0   29.2
 10.0   70.0    36.4    60.0    15.6    124.7   11.3    42.0    11.1    112.3   100.2
 8.0    81.0    20.9    46.9    6.6     96.3    12.4    63.5    5.7     53.9
 3.0    111.0   11.4    41.0    4.0     66.6    3.4     53.8    8.7     37.5
 0.0    101.0   37.8    21.3    1.8     64.5    6.0     62.0    36.1    27.9
 0.0    73.0    69.8    16.0    8.5     54.1    32.3    48.5    79.7    10.2
 2.0    40.0    106.1   6.4     16.6    39.0    54.3    43.9    114.4   15.1
 11.0   20.0    100.8   4.1     36.3    20.6    59.7    18.6    109.6   47.0
 27.0   16.0    81.6    6.8     49.6    6.7     63.7    5.7     88.8    93.8
 47.0   5.0     66.5    14.5    64.2    4.3     63.5    3.6     67.8    105.9
 63.0   11.0    34.8    34.0    67.0    22.7    52.2    1.4     47.5    105.5
 60.0   22.0    30.6    45.0    70.9    54.8    25.4    9.6     30.6    104.5
 39.0   40.0    7.0     43.1    47.8    93.8    13.1    47.4    16.3    66.6
 28.0   60.0    19.8 4  7.5     27.5    95.8    6.8     57.1    9.6     68.9
 26.0   80.9    92.5    42.2    8.5     77.2    6.3     103.9   33.2    38.0
 22.0   83.4    154.4   28.1    13.2    59.1    7.1     80.6    92.6    34.5
 11.0   47.7    125.9   10.1    56.9    44.0    35.6    63.6    151.6   15.5
 21.0   47.8    84.8    8.1     121.5   47.0    73.0    37.6    136.3   12.6
 40.0   30.7    68.1    2.5     138.3   30.5    85.1    26.1    134.7   27.5
 78.0   12.2    38.5    0.0     103.2   16.3    78.0    14.2    83.9    92.5
 122.0  9.6     22.8    1.4     85.7    7.3     64.0    5.8     69.4    155.4             
