  690  670  670  630  902 1650 2150 1560 1690 2300 2010 1450 1250 1160 1100 1080
  968  902 1030 1010  990  946  880  858  836  771  730  730  750  814  836  836
  516  690  771  771  771  771  750  750  750  750  670  630  670  771  771  690
  670  670  792  836  836  814  836  902  946  968  968  968  946  924  880  858
  836  836  814  814  814  858  858  814  836  880  946  990 1160 1450 1730 1920
 1840 1450 1220 1080  858  836  858  750  710  730  771  814  814  710  750  710
  710  730  771  880  990 1420 1880 2520 3150 2200 2410 3920 5010 4620 3520 3080
 3150 3150 2520 2150 1730 1270 1330 1300 1250 1160 1190 1300 1300 1250 1160 1160
 1080 1010 1010  968  946 1030 1160 1390 1390 1250 1190 1220 1300 1330 1300 1270
 1190 1330 1250 1190 1160 1050 1010  990  968  968  990 1080 1100 1080 1080 1010
  946  924  902  880  858  924 1080 1190 1270 1190 1130 1160 1220 1270 1190 1160
 1130 1130 1130 1130 1130 1100 1080 1030 1010  990  990  990  990  968  946  924
  902  902  880  858  858  814  814  814  814  814  814  814  814  814  792  771
  750  771  771  771  750  771  792  771  880  990  858  814  792  792  792  792
  836  771  792  792  771  750  730  730  730  730  730  730  750  771  792  750
  750  750  750  771  750  730  730  730  792  730  730  710  710  710  690  690
  690  690  690  690  710  710  710  690  690  771  814  836  880  792  771  750
  730  836  836  858  771  792  792  858  990  792  792  771  771  771  690  630
  690  610  610  650  730  690  792  880  814  670  710  670  670 1080 1360 1130
  858  858  771  630  571  792 1130  968  814  730  690  534  670  670  670  630
  750  836  836  858  858  946  968  880  814  750  690  690  670  670  670  902
  924  858  771  730  771  792  814  792  771  750  650  771  814  814  902  814
  710  650  610  590  571  552  552  516  482  465  465  465  465

 
