 1359.795 1278.564 1508.327 1419.710 1440.510 1424.376 1247.704
  495.498 1278.119 1428.715 1221.370 1314.325 1528.940 1486.730
 1606.325 1545.355 1489.075 1667.295 1198.295  506.520 1350.720
 1402.310 1475.005 1458.590 1416.380 1531.285 1761.095 1632.120
 1711.850 1664.950 1435.140  572.180 1477.350 1622.740 1730.610
 1641.500 1554.735 1739.990 2002.630 1648.535 1657.915 1948.695
 1292.095  555.765 1486.730 1535.975 1650.880 1700.125 1800.960
 1798.615 1922.900 1732.955 1723.575 1847.860 1479.695  581.560
 1564.115 1648.535 1716.540 1690.745 1915.865 1925.245 2007.320
 1892.415 1376.515 1749.370 1728.265  668.325 1671.985 2112.845
 1817.375 1838.480 2030.770 1969.800 2124.570 1908.830 1887.725
 2051.875 1568.805  811.370 1627.430 2061.255 1636.810 2164.435
 1789.235 1990.905 2117.535 2021.390 1667.295 2042.495 1571.150
  712.880 1641.500 1648.535 1639.155 1946.350 1960.420 1990.905
 2206.645 1815.030 1876.000 2305.135 1899.450  511.210 1906.485
 1798.615 1840.825 1972.145 2012.010 2424.730 2413.005 2080.015
 2061.255 2483.355 1807.995  832.475 1953.385 2126.915 2148.020
 2176.160 2279.340 2356.725 2485.700 2305.135 2502.115 2288.720
 2072.980  785.575 1995.595 2940.630 2912.490 2680.335 2743.650
 2417.695 2649.850 2309.825 2640.470 2366.105 2084.705  877.030
 2220.715 2253.545 1620.395 1618.050 1488.371 1541.462 1642.743

 
