c     (a) controls
c
  57  86 114 139 172
  60  93 123 146 177
  52  77 111 144 185
  49  67 100 129 164
  56  81 104 121 151
  46  70 102 131 153
  51  71  94 110 141
  63  91 112 130 154
  49  67  90 112 140
  57  82 110 139 169
c
c     (b) thyroxin
c
  59  85 121 146 181
  54  71  90 110 138
  56  75 108 151 189
  59  85 116 148 177
  57  72  97 120 144
  52  73  97 116 140
  52  70 105 138 171
  61  86 109 120 129
  59  80 101 111 122
  53  79 100 106 133
c
c     (c) thiouracil
c
  59  88 100 111 122
  51  75 101 123 140
  51  75  92 100 119
  56  78  95 103 108
  58  69  93 116 140
  46  61  78  90 107
  53  72  89 104 122
