 529 567 747 719 707 728 758 746 725 725 555    
 526 612 570 597 666 677 651 736 757 708 601    
 569 526 538 525 668 692 762 693 775 843 578    
 708 434 489 528 505 576 805 895 707 803 834    
 645 745 637 588 429 552 598 735 831 720 691    
 670 649 586 559 374 442 396 555 707 616 473    
 289 183 204 183 140 201 203 201 290 256 169    
 174 192 170 169 170 124 152 163 114 208 176    
 191 230 258 356 375 339 291 150 187 163 162    
 206 168 138 183 128 148 133 103 122 123 140    
 157 149 171 139 169 172 162 138 124 140 128    
 112 154 159 176 245 168 242 246 138 199 232    
 198 219 243 218 203 211 267 233 223 211 267    
 248 244 265 268 242 244 276 371      

 
