Starts Contracts Rates
   91.3   11.358  13
   96.3   11.355  12.62
   134.6  16.100  12.97
   135.8  16.315  12.02
   174.9  19.205  12.21
   173.2  20.263  11.9
   161.6  16.885  12.02
   176.8  19.441  12.01
   154.9  17.379  12.08
   159.3  16.028  11.8
   136    15.401  11.82
   108.3  13.518  11.94
   109.1  14.023  11.8
   130    14.442  11.78
   137.5  17.916  11.56
   172.7  17.655  11.55
   180.7  21.990  11.68
   184    20.036  11.61
   162.1  19.224  11.91
   147.4  19.367  11.89
   148.5  16.923  12.03
   152.3  18.413  12.27
   126.2  16.616  12.27
   98.9   14.220  12.05
   105.4  15.154  11.77
   95.8   13.652  11.74
   145.2  20.004  11.42
   176    20.692  11.55
   170.5  22.532  11.55
   163.4  20.043  11.31
   160.7  22.047  10.94
   160.7  21.055  10.78
   147.7  20.541  10.69
   173    21.715  10.64
   124.1  17.691  10.55
   120.5  16.276  10.47
   115.6  15.417  10.4
   107.2  16.152  10.21
   151    19.617  10.04
   188.2  23.754  9.87
   186.6  23.050  9.84
   183.6  23.740  9.74
   172    23.621  9.89
   163.8  21.884  9.84
   154    21.763  9.74
   154.8  21.862  9.57
   115.6  17.998  9.45
   113    17.982  9.28
   105.1  16.694  9.14
   102.8  15.729  8.87
   141.2  22.622  8.77
   159.3  23.077  8.84
   158.   22.054  8.99
   162.9  25.703  9.05
   152.4  24.567  9.01
   143.6  23.836  9.01
   152    22.418  9.03
   139.1  23.360  8.86
   118.8  18.663  8.92
   85.4   19.224  8.78
   78.2   15.113  8.75
   90.2   17.496  8.76
   128.8  22.257  8.77
   153.2  22.344  8.76
   140.2  24.138  8.59
   150.2  26.940  8.9
   137    22.309  8.8
   136.8  24.826  8.68
   131.1  22.670  8.9
   135.1  22.223  8.77
   113    19.767  9.05
   94.2   19.125  9.04
   100.1  15.776  9.2
   85.8   15.086  9.46
   117.8  21.080  9.63
   129.4  21.725  9.88
   131.7  23.796  9.82
   143.2  24.650  10.09
   134.7  22.330  10.06
122.4     24.128  9.83
109.3     23.371  9.87
130.3     22.669  9.77
