 -0.9606 -1.0378 -0.5484 -1.0541 -0.4834  0.6311  1.4114  0.3825
 -1.8239 -1.4407 -0.3132 -0.0874 -0.3918 -0.5888 -0.5612  0.0961
  0.4954  0.1312 -0.5580 -0.4685 -0.1463  0.5760 -0.0495 -1.0003
 -1.8508 -1.0105  0.7121  0.4883  0.2780 -0.2835 -0.5369 -0.4541
 -0.2950 -1.2701 -1.0686  0.3006  1.7958  1.3815 -1.0157 -2.0178
 -0.6857  0.7797  0.8469  0.0207  0.0693  0.8074  1.2451  0.0664
 -0.8526 -0.1221 -0.0564  0.9502  0.2213 -0.8695 -1.4278 -1.0505
  0.4253  0.9019  0.7936  0.2804 -0.7642 -0.9103 -0.1189  1.4175
  1.7326  0.3792 -1.2491 -0.4060  0.9696  2.1885  1.3596 -0.8464
 -1.2709 -0.5210  1.1009  1.4884  1.0229 -0.8339 -2.0272 -1.4314
  1.1195  1.5164  0.2551 -0.9049 -0.8063  0.0818  1.8423  1.4011
 -0.7910 -2.1526 -2.0495 -0.5901  2.3577  1.7757 -0.3490 -1.9200
 -1.3727  0.5940  1.6419  0.5217 -0.8298 -0.9909 -0.2148 -0.0358
  0.9816  1.5830  0.6708 -0.7696 -1.6945  0.0077  1.3638  1.0386
 -0.3156 -1.0937 -1.1822 -0.4685  0.7767  1.5031  1.1802 -0.8624
 -1.4084  0.6630  2.0564  2.0627  0.7909 -0.9423 -2.0920 -0.5903
  0.8511  1.4750  0.7712 -1.5542 -1.9841 -0.1077  0.5974  1.4342
  0.3418 -1.6969 -1.7782 -0.5346  0.0004  0.2964  0.5667  0.4114
 -0.1130  0.0279  0.1295  0.2099 -0.6045 -0.4056 -0.7219 -0.9665
 -0.2216  0.8067  1.3913  1.2016 -0.5651 -2.4274 -1.6577  0.9373
  3.0506  1.8579 -1.1132 -2.9611 -2.0225  0.5278  1.6486  1.8253
  0.4094 -0.7162 -0.4403  0.4893  0.9551  0.4074 -0.5918 -1.8504
 -1.1401  0.2450  1.3324  1.3814  0.8292 -0.3209 -0.9560  0.4385
  0.8297  0.9752 -0.5203 -1.4231 -0.8991  0.3139  0.7310  0.5303
  0.0094 -0.3464 -0.7523 -1.2773 -1.1861 -0.1403  1.6277  1.0874
 
