    .9   1.6    .1    .6   2.0    .8   1.4   1.3   2.2    .1   3.0   -.2
  -2.6  -3.8    .9   1.9   -.4  -6.0  -5.0  -4.6  -5.3  -7.3  -8.5  -9.9
 -13.1 -10.2  -8.7    .4   1.9    .8  -1.6   -.9    .5  -4.1  -2.8  -2.6
  -3.3  -2.8  -7.6  -5.8  -6.4  -5.9  -5.3  -8.6 -12.6 -15.3  -7.4    .5
   1.1  -2.4   -.7  -4.5   -.6    .3    .2    .7    .8   2.3    .1   1.1
  -1.4   -.6    .3  -1.1  -3.6  -1.9    .1   -.4  -3.9  -1.2  -4.0  -4.8
  -7.8  -3.1  -4.6   2.2   1.0  -1.6  -3.2    .1  -5.2  -6.5  -5.3    .0
  -6.8  -6.9  -5.0  -9.4  -9.4 -10.4  -8.4    .9  -7.0 -11.7  -9.0  -7.9
  -8.4  -9.8 -13.4  -2.8  -1.2  -1.6   -.2  -2.6  -3.6  -2.1    .1    .1
    .5    .9   1.0    .7   2.4   3.0   2.7    .0   -.2   -.3  -3.2  -6.8
  -6.8  -6.4  -3.1   -.5    .8   2.2   3.0   4.7   4.0   3.5   4.4   4.3
   4.0   2.9   1.8   1.8   1.6   1.6   1.8   3.4   4.5   5.8   3.3   4.8
   4.1   4.2   1.6   1.1   1.6   2.4   2.5   1.7   2.2   4.1   3.1   3.4
   5.5   2.2   3.3   5.6   6.3   6.1   6.2   8.5   5.5   7.0   4.7   2.3
   1.3   -.2   1.3   2.9   4.5   5.9   4.4   2.2   4.4   4.4   3.4   5.2
   6.2   6.5   7.0   6.1   1.9   3.5   6.9   6.2   6.4   6.5   6.7   6.7
   7.6   6.1   5.1   3.6   4.8   7.5   6.1   6.8   6.7   7.9   7.0   5.8
   6.0   6.1   7.5   7.8   9.1   7.1   6.4   6.8   7.4   6.7   3.7   4.7
   3.4   1.4   2.6   2.5   3.2   5.8   7.2   6.2   8.9   7.2   5.5   4.4
   4.9   4.7   4.4   3.5   4.2   5.0   5.2   5.5   3.6   3.4   6.5   6.4
   8.8   6.1   4.3   4.5   6.9   4.8   5.8   6.0   2.6  -1.7   -.8   -.8
    .1   -.1   2.0   2.6   3.8   7.3   6.3   4.6   6.2   4.2   4.7   4.3
   3.1   3.8   7.2   4.6   6.4   6.1   4.5   4.2   2.9   1.1    .9   2.1
   1.0    .6   5.3   1.7    .1  -1.1  -2.4  -5.8   1.7   2.4    .6  -1.4
   2.1  -1.6   -.2   2.6    .7   2.3  -1.3  -2.5  -4.9  -4.4  -4.7  -5.4
  -4.4   1.3   1.4  -1.3  -1.7  -2.9  -2.8  -2.9  -2.3  -3.1   -.5  -4.3
  -7.1  -7.5  -4.7  -5.0  -6.4  -8.5 -10.4 -15.2 -10.6  -9.3  -8.0  -7.9
  -7.8  -8.9 -14.2  -3.6   -.1  -2.4    .2  -1.3  -6.1  -5.7  -5.0  -4.2
  -3.8  -6.3  -7.0  -6.2  -6.3  -5.4 -11.0  -8.5  -5.6  -9.5  -3.7  -3.7
  -3.2  -3.8   1.3   3.5   2.5    .9  -1.5  -3.2  -4.9  -6.1  -3.4   1.4
  -6.2  -5.2  -7.4  -3.0  -4.1  -6.5

 
