  30   0 -10   0 -40   0 -10  10  20  50 -10 -55   0  10   0  10
 -70  30 -20  10   0   0  20  30   0 -10 -20 -30   0  10  20 -10
   0  20  10 -10   0   0   0   0   0   0  20 -50  20   0   0  40
   0  50 -40 -50 -60  50 -10  40  40 -30  20 -30  10 -20  30 -50
  10  10  10 -30   0 -10 -10  15  20 -50  20   0   0   0   0 -40
-100   0   0  50  85   5  40  10 -60 -50 -50  40   0   0 -20 -30
 -60 -20 -30  30 -40  80 -40 -20  55   0 -90  40   0  80 -20 -10
 -70 -30 -10  30  -5 -60  70  40  10  20  10   0 -70  50  30   0
 -10   0 -40   0 -10  10   0  80 -80  20  20 -10  10   0 -20  20
  55   0  25  20 -60 -40  10  20  60 -50 -10 -30  20   0  20  10
  10  10  50 -30 -30 -90  60 -40  20   0  20  10 -30 -30   0  50
 -60  20   0  40  80  20-100 -30  30 -20 -30  20  60 -10  30 -40
  30 -20   5 -20 -30  20  10 -15 -75 -40 -40  90  90  80 -45 -10
 -40  40 -90  40   0   0   0  20  90  30  20  30  30  30  30 -90
  10  10 -30 -20  40  10  10  10-100  10  45  30  30 -15  -5  10
 -85   0   0  60  40 -30 -40 -40  50  10  30 -40  10 -40  40 -30
 -50   0 -45 -20 -25  35  70 -10 100 -20 -40 -20  10   0   0 -20
 -50  50  30  60 -40 -20 -10  10-110  15  30   0  25  -5 -15  45
  40 -50 -10 -50  20   5 -40   0 -60  40 -20 130 -20   0  30 -20
  60  10 -10 -25   0  15  -5   0
  -4  -2   0   0   4   2   2   0  -2  -6  -2   4   2   0  -2  -2
   6   0   2   0   0   0  -2  -4  -2   0   2   4   2   0  -2   0
   0  -2  -2   0   0   0   0   0   0   0  -2   4   0   0   0  -4
  -2  -6   0   3   6  -2   0  -4  -6   0  -2   2   0   2  -2   4
  -2  -2  -2   0   0   2   3   0  -2   4   0   0   0   0   0   4
  12   8 -12 -15 -15 -12 -14  -8   2   6   8   0   0   0   2   4
   8   6   6   0   4  -6   0   2  -4   2   8   0   0  -8  -2   0
   6   6   4  -1   0   6  -4  -6  -4  -4  -3  -2   6  -2  -4  -2
   0   0   4   2   2   0   0  -8   4   4   0   2   0   0   2  -1
  -6  -3  -4  -4   4   6   4   0  -6   2   2   4   0   0  -2  -2
  -2 -22  -6   0   6  12   0   4   0   0  -2  -2   2   4   2  -4
   4   0   0  -8 -12  -8   6   6   0   2   4   0  -6  -2  -4   2
  -2   1   0   2   4   0  -1   1   8   8   6  -6 -12 -14  -2   0
   4  -2   8   0   0   0   0  -2 -10  -8  -6  -6  -6  -6  -6   6
   2   2   4   4  -2  -2  -2  -2  12   6  -2  -4  -5  -1   0  -1
   8   4   0  -4  -6   0   4   6  -2  -2  -4   2   0   4  -2   2
   6   3   6   5   4  -2   8  -5 -20  -8   0   2   0   0   0   2
   6  -2  -4  -8   0   2   2   0  13   4  -2  -1  -3  -1   1  -4
  -6   2   2   6   1   0   4   6   8   0   2 -12  -4  -2  -4   0
   6  -4   1   2   1  -1   0   0

 
