 106 118 124  94  82  88  87  88  88  68  98 115 135 104  96 110 107  97
  75  86 111 125  78  86 102  71  81 129 130 129 125 139  97  90  76 102
 100  73  86  74  74  76  80  96 112 144  80  54  69 100 103 129 100  90
 100 123 156  71  71  81  84  97 105  90  78 112 100  86  77  80  93 112
 131 158 113  89  87  87  79  90  90  87  83  85  76 110 161  97  84 106
 111  97 108 100 119 131 143 138 112  99  97  80  90  90  80  77  81  98
 115  94  93 100  99 100  94  88  92 100  82  73  81  99 124 106 106 121
 105  84  97 109 148 114 108  97  92  97  98 105  97  93  99  99 107 106
  96  82  88 116 122 134 119 136 102  72  63  76  75  77 103 104 120 167
 126 108  91  85  73  74  80  74  78  83  84 106 134 122 102 107 115 113
 104  92  84  86 101  74  75  66  62  76  79  97 134 169 111 109 111 128
 163 137  99  85  72  88  77  66  64  69 125 175 108 103 115 134 108  90
  89  89  94 107  89  79  91  94 110 111 103  94 101  90  96  80  76  84
  91  94 101  93  91 122 159 110  90  81  84 102 102 100 109 104  90  99
  95  90  80  85 117 112  95  91  88 100  97  88  95 101 106 113 108 108
 131 136 119 106 105  88  84  94  87  79  87  88  94  94  92  85  84  93
 108 108  86  78  87  85 103 130  95  84  87 120 139 117 105  94 125 114
  98  93  94  94 104 140 121  96  96 130 178 126  94  86  84  76  77  71
  71  69  82  93 114 103 110 105  82  80  78  82  88 102 117 107  95 101
  92  88  92 115 139  90  80  74  78  86 105 138 141 138 107  82  81  97
 116 107  92  79  81  94 119 118  93 102

