Month Balance AAA "3-4 year"
   1        360071    5.94      5.31
   2        361217    6.00      5.60
   3        358774    6.08      5.49
   4        360271    6.17      5.80
   5        360139    6.14      5.61
   6        362164    6.09      5.28
   7        362901    5.87      5.19
   8        361878    5.84      5.18
   9        360922    5.99      5.30
   10       361307    6.12      5.23
   11       362290    6.42      5.64
   12       367382    6.48      5.62
   13       371031    6.52      5.67
   14       373734    6.64      5.83
   15       373463    6.75      5.53
   16       375518    6.73      5.76
   17       374804    6.89      6.09
   18       375457    6.98      6.52
   19       375423    6.98      6.68
   20       374365    7.10      7.07
   21       372314    7.19      7.12
   22       373765    7.29      7.25
   23       372776    7.65      7.85
   24       374134    7.75      8.02
   25       374880    7.72      7.87
   26       376735    7.67      7.14
   27       374841    7.66      7.20
   28       375622    7.89      7.59
   29       375461    8.14      7.74
   30       377694    8.21      7.51
   31       380119    8.05      7.46
   32       382288    7.94      7.09
   33       383270    7.88      6.82
   34       387978    7.79      6.22
   35       394041    7.41      5.61
   36       403423    7.18      5.48
   37       412727    7.15      4.78
   38       423417    7.27      4.14
   39       429948    7.37      4.64
   40       437821    7.54      5.52
   41       441703    7.58      5.95
   42       446663    7.62      6.20
   43       447964    7.58      6.03
   44       449118    7.48      5.60
   45       449234    7.35      5.26
   46       454162    7.19      4.96
   47       456692    7.19      5.28
   48       465117    7.11      5.37
   49       470408    7.16      5.53
   50       475600    7.22      5.72
   51       475857    7.36      6.04
   52       480259    7.34      5.66
   53       483432    7.30      5.75
   54       488536    7.30      5.82
   55       493182    7.27      5.90
   56       494242    7.30      6.11
   57       493484    7.31      6.05
   58       498186    7.26      5.98
   59       500064    7.24      6.00
   60       506684    7.25      6.24
