 209 214 265 290 287 270 263 265 252 281 259 312
 275 250 312 331 256 247 291 318 296 291 313 311
 273 258 361 391 446 433 449 479 460 466 410 415
 382 409 496 471 488 584 610 684 626 580 444 552
 473 431 513 467 470 455 406 424 406 373 332 310
 301 296 333 374 422 424 341 216 319 383 360 400
 386 397 486 528 541 542 534 502 454 505 450 414
 341 370 481 508 521 597 474 440 408 396 381 657
 440 477 637 652 661 681 647 659 655 576 509 631
 432 448 545 564 560 540 535 568 421 424 404 514
 437 439 573 549 556 517 543 492 495 464 409 512
 382 334 401 418 424 411 400 371 317 321 335 511
 421 425 498 575 584 586 567 534 458 535 429 431
 430 494 597 647 647 596 547 525 459 548 543 544
 414 375 480 496 544 572 501 471 371 550 558 526
 506 473 592 635 644 602 614 540 374 678 638 644
 554 498 624 759 715 692 706 553 404 715 640 712
 612 552 637 812 781 754 724 649 565 659 564 757
 667 631 799 896 841 842 834 767 590 746 794 909
 607 722 879 823 777 753 833 744 574 767 732 808
 616 539 671 786 822 806 753 726 550 710 643 738
 658 605 725 859 824 801 872 744 705 880 757 977
 
