month males females
     1  2134    901
     2  1863    689
     3  1877    827
     4  1877    677
     5  1492    522
     6  1249    406
     7  1280    441
     8  1131    393
     9  1209    387
    10  1492    582
    11  1621    578
    12  1846    666
    13  2103    830
    14  2137    752
    15  2153    785
    16  1833    664
    17  1403    467
    18  1288    438
    19  1186    421
    20  1133    412
    21  1053    343
    22  1347    440
    23  1545    531
    24  2066    771
    25  2020    767
    26  2750   1141
    27  2283    896
    28  1479    532
    29  1189    447
    30  1160    420
    31  1113    376
    32   970    330
    33   999    357
    34  1208    445
    35  1467    546
    36  2059    764
    37  2240    862
    38  1634    660
    39  1722    663
    40  1801    643
    41  1246    502
    42  1162    392
    43  1087    411
    44  1013    348
    45   959    387
    46  1179    385
    47  1229    411
    48  1655    638
    49  2019    796
    50  2284    853
    51  1942    737
    52  1423    546
    53  1340    530
    54  1187    446
    55  1098    431
    56  1004    362
    57   970    387
    58  1140    430
    59  1110    425
    60  1812    679
    61  2263    821
    62  1820    785
    63  1846    727
    64  1531    612
    65  1215    478
    66  1075    429
    67  1056    405
    68   975    379
    69   940    393
    70  1081    411
    71  1294    487
    72  1341    574
