  481971  476353  471803  469382  446943  451091  665016  784232
  784126  739423  715128  759623  962866 1068885 1168127 1232381
 1256889 1383302 1302857 1308091 1313691 1316572 1383832 1558469
 2200486 2288368 2155962 2074220 1942134 1808534 1739507 1635604
 1566588 1508348 1595491 1976461 2113553 1948422 1850960 1736166
 1673661 1611908 1584067 1543866 1502799 1476741 1570796 1931002
 2106836 2172973 1848101 1728250 1602178 1534867 1431499 1372614
 1309563 1276009 1496764 1955635 2081227 2060651 1631613 1479538
 1400709 1312201 1237767 1186715 1148914 1169558 1331378 1747757
 2217243 2275347 1629817 1473474 1299533 1198475 1109003 1042697
  982184  977389 1117323 1464489 1975159 2000102 1578827 1047886
  876414  790579  692089  630088  610855  627627  728116 1185850
 1390335 1982469 1158631  754433  653274  586675  529246  503216
  501687  516321  744959 1202533 1601562 1222789  804115  690039
  587952  544987  467085  435506  436205  435751  557143 1320321
 1533557 1418192 1201913  678161  556518  481151  422220  393066
  387484  421322  497959 1022634 1445508 1203311  667087  466799
  386004  314389  258048  235253  223206  235428  273606  512409
  684297  581440  297704  225051  184564  162558  140701  132931
  130861  142001  158424  302812  422744  321910  187840  153046
  130587  115126  107704  111304  107883  112935  127792  239975
  286398  273789  205467  135430  109403   97466   93939   91344
   91383  101984  131356  232653  410047  416889  216323  143659
  124037  112083  106111  104243  104507  114335  133024  252329
  337497  304690  227188  146634  126654  112166  105399  102835
  100266  111462  126844  202086  286334  291236  200978  126862
  106541   95419   89018   85677   84974   92231  118962  177908
  268848  235816  141428  121288  107743  100697  101476  105743
  112726  145804  216382  371623  621156  673572  576047  501303
  458461  400773  377235  359473  341078  360846  395004  526218
  672617  589707  459853  330851  264674  226552  202689  187778
  174467  180223  196056  266372  368585  374124  243212  155181
  122967  110744  108018  103753  100477  107770  118849  192174
  286266  264080  197784  120550  103407   94767   98562   99460
   97338  110849  129476  175058  286171  254753  206472  160356
  142890  135157  141975  145835  146740  170111  207990  269810
  375564  368952  268461  231219  208289  190224  196774  198266
  194660  214880  235379  279237  356352  347053  286576  240734
  211276  200950  216616  221905  219271  266969  331839  485631
  620494  620154  561762  517365  456965  450684  490894  527051
  556981  672312  799337  945916 1154295 1183501 1114048 1087078
 1017716 1002135 1035235 1031122 1005495 1061128 1114190 1223396
 1350990 1346723 1190159 1093693  953538  921037  944609  939528
  898701  943685  984699 1089935 1248918 1213741 1084229 1039228
  946498  930974  927624  963468  911239  954376 1004325 1090708
 1213498 1224309 1098969 1000429  912997  877319  922230  923963
  864274  901636  927043 1006724 1171353 1134060  957711  875452
  775117  763173  803653  798867  736809  761724  798973  866783
 1036519  992520  875909  825374  766768  781396  853077  864519
  822565  888100  967533 1118500
 
