 1610 1920 1450 1100 1360 1250 1050 1010  968  902  880  858  814  750  792  792
  771  710  670  398  516  610  690  690  710  730  730  571  690  814  750  710
  690  670  670  690  690  670  650  650  670  690  710  670  670  670  690  534
  534  590  630  690  792 2100 1420 1160 1010  924  858  814  792  771  771  750
  710  690  690  690  650  771  465  398  516  610  610  814 1360  968  836  924
  858  836  792  902  902  814  792  750  730  690  690  750  670  670  690  670
  650  630  630  630  630  610  590  650  630  610  710  814  990 1420 1650 1920
 2350 2520 3590 3150 1920 1690 1360 1100 1010  990 1010 1030 1300 2010 2410 3670
 3290 2870 3150 3370 3080 2630 2150 1730 1920 1690 1610 1560 1800 1970 1770 1690
 1970 1690 1480 1130 1130 1010 1010  990  924  902  946 1010  990 1080  968  924
  902  880  880  858  858  990  990 1130  990  924  924  902  836  814  836 1010
 1160  990  990  968  946  902  836  836 1050 1050 1010 1010  968  990 1100 1050
  946  902  924  990  924  946  880  880  946  946  902  880  858  836  836  836
  858  836  792  792  792  771  750  750  730  750  771  750  730  730  710  710
  710  750  730  750  710  730  730  771  814  750  771  771  771  771  814  902
  902  902  924  858  902  858  750  880  946  814  792  750  750  730  730  750
  750  750  730  710  710  690  710  730  710  730  771  730  730  710  690  690
  670  730  710  710  650  571  670  858  730  670  630  610  792 1010  924  771
  880 1010  858  902  836  814  771  710  710  771  750  750  534  534  858  836
  858  750  710  590  690  690  750  771  750  730  571  482  448  516  610  710
  750  750  771  792  710  730  730  814  836  836  814  771  710  690  690  710
  670  650  670  710  730  710  690  710  750  710  750  730  710  690  670  670
  792 1160 1080  670  534  610  750  792  792  771  750  750  730  710

 
