
There are 2 series in 2 columns. They can be read by S or Minitab in columns.
Titles

No of males, aged 18-24, who have been unemployed for 6-12 months.
ILO unemployment in UK from April 1992 to February 2000.

No of males, aged 25-49, who have been unemployed for less than 6 months.
ILO unemployment in UK from April 1992 to February 2000.

The second series is Figure 8.1 in Time Series Forecasting. 
The other series has somewhat similar unusual properties.

Month Unemployed6-12 Unemployed6
Apr-92	120545	368680
May-92	118776	342868
Jun-92	123919	329655
Jul-92	122397	311863
Aug-92	120742	308094
Sep-92	110403	315278
Oct-92	96896	318517
Nov-92	93699	339219
Dec-92	94469	351842
Jan-93	98726	379146
Feb-93	104474	370566
Mar-93	101388	358930
Apr-93	115206	321754
May-93	111650	310263
Jun-93	124118	302001
Jul-93	118565	293975
Aug-93	111826	283678
Sep-93	93793	273674
Oct-93	85645	287291
Nov-93	83837	291856
Dec-93	85058	307371
Jan-94	81029	308282
Feb-94	89304	307953
Mar-94	90917	290476
Apr-94	98547	287230
May-94	92893	281544
Jun-94	93539	281092
Jul-94	91465	258302
Aug-94	90899	251491
Sep-94	80277	249944
Oct-94	68198	261409
Nov-94	61863	273788
Dec-94	63506	285016
Jan-95	68538	292925
Feb-95	74228	287375
Mar-95	76946	275928
Apr-95	86837	249013
May-95	86748	241451
Jun-95	85033	245097
Jul-95	75179	241871
Aug-95	65323	253101
Sep-95	62836	242686
Oct-95	56385	256218
Nov-95	56743	260270
Dec-95	63120	283087
Jan-96	71961	284710
Feb-96	78215	287629
Mar-96	80749	285233
Apr-96	76149	269101
May-96	76456	269156
Jun-96	69951	247197
Jul-96	64521	256817
Aug-96	60674	250661
Sep-96	60453	254935
Oct-96	54157	246711
Nov-96	48306	231481
Dec-96	46017	235159
Jan-97	49662	242472
Feb-97	55138	244857
Mar-97	51865	242576
Apr-97	51759	237660
May-97	48600	238503
Jun-97	54730	240133
Jul-97	53505	242583
Aug-97	53007	239799
Sep-97	44530	230809
Oct-97	44737	234672
Nov-97	44920	240508
Dec-97	48776	239610
Jan-98	47630	241227
Feb-98	45842	244007
Mar-98	51436	241382
Apr-98	51268	233351
May-98	47544	230375
Jun-98	41602	236433
Jul-98	48604	232373
Aug-98	53772	240122
Sep-98	52167	235851
Oct-98	49696	232402
Nov-98	47253	230879
Dec-98	50093	250461
Jan-99	54393	270610
Feb-99	54447	270433
Mar-99	55461	263740
Apr-99	48715	244268
May-99	53161	230016
Jun-99	51564	219385
Jul-99	49895	214491
Aug-99	46684	213890
Sep-99	38687	209597
Oct-99	36211	214998
Nov-99	32767	207364
Dec-99	34604	225075
Jan-00	38264	232544
Feb-00	39026	237402
		
