Portland Oregon average monthly bus ridership (/100)
January 1973 through June 1982, n=114

648     646     639     654     630     622     617     613     661     695     690     707
817     839     810     789     760     724     704     691     745     803     780     761
857     907     873     910     900     880     867     854     928     1064    1103    1026    
1102    1080    1034    1083    1078    1020    984     952     1033    1114    1160    1058
1209    1200    1130    1182    1152    1116    1098    1044    1142    1222    1234    1155
1286    1281    1224    1280    1228    1181    1156    1124    1152    1205    1260    1188
1212    1269    1246    1299    1284    1345    1341    1308    1448    1454    1467    1431
1510    1558    1536    1523    1492    1437    1365    1310    1441    1450    1424    1360
1429    1440    1414    1424    1408    1337    1258    1214    1326    1417    1417    1329
1461    1425    1419    1432    1394    1327
