 -0.75 -0.92 -1.04 -1.01 -0.83 -0.64 -0.55 -0.46 -0.31 -0.14
 -0.02  0.12  0.32  0.54  0.68  0.72  0.77  0.82  0.87  0.91
  0.98  1.10  1.17  1.09  1.00  1.06  1.17  1.18  0.96  0.64
  0.60  0.80  0.84  0.68  0.63  0.74  0.81  0.67  0.38  0.17
  0.17  0.29  0.41  0.52  0.67  0.77  0.80  0.86  1.01  1.22
  1.40  1.49  1.49  1.47  1.54  1.64  1.60  1.46  1.41  1.41
  1.39  1.26  1.04  0.89  0.99  1.21  1.31  1.25  1.13  1.04
  0.98  0.93  0.86  0.79  0.80  0.91  1.10  1.26  1.26  1.10
  0.92  0.79  0.67  0.53  0.44  0.43  0.39  0.32  0.29  0.34
  0.38  0.37  0.33  0.26  0.25  0.31  0.40  0.47  0.45  0.36

 
