 -217 -177 -166 -136 -110  -95  -64  -37  -14  -25  -51  -62  -73  -88
 -113 -120  -83  -33  -19   21   17   44   44   78   88  122  126  114
   85   64   55   51   40   30   14    1    1   -4  -13  -56  -83 -104
  -93  -88  -75  -80 -101 -156 -226 -293 -333 -347 -329 -279 -205 -131
  -86  -59  -48  -35  -30  -12   11   57   92   86   53   26    6  -12
  -35  -31    0   36   54   65  104  166  248  318  384  415  421  402
  392  387  391  396  400  391  361  328  296  282  269  256  225  202
  193  205  201  178  139  130  101   67   22    2   12   26   21   10
  -11  -12  -15    6   22   51   78  111  141  150  157  143  138  137
  151  151  136  111  105  105  110  104   92   96  115  144  126  131
  112  119  139  183  206  231  244  239  263  273

 
