 29.33 19.98 25.76 29.00 31.03 32.68 33.56 27.50 26.75 30.55 28.94 28.50
 28.19 26.13 27.79 27.63 29.89 28.18 26.65 30.01 30.80 30.45 36.61 31.40
 30.83 33.22 30.15 27.08 33.66 36.58 29.04 28.08 30.28 29.35 33.60 30.29
 20.11 17.51 23.71 24.22 32.43 32.44 29.39 23.45 23.62 28.12 29.94 30.56
 32.30 31.58 27.99 24.13 29.20 34.30 26.41 28.78 21.28 21.71 21.47 24.71
 33.61 36.54 35.70 33.68 29.29 25.12 27.23 30.61 29.06 28.48 32.01 31.89
 31.72 29.02 31.92 24.28 22.69 26.60 28.86 28.27 28.17 28.58 30.76 30.62
 20.84 16.57 25.23 31.79 32.52 30.28 26.14 19.03 24.34 31.53 31.95 31.68
 29.10 23.15 26.74 32.44

