 -1.23  0.03 -0.10 -0.50  0.26  1.62 -1.21 -0.57  1.34 -1.75
 -0.23  0.63  0.48 -0.83 -0.03  1.31  0.86 -1.28  0.00 -0.63
  0.08 -1.30  1.48 -0.28 -0.79  1.86  0.07  0.09 -0.20 -0.21
  0.91 -0.36  0.48  0.61 -1.38 -0.04  0.90  1.79 -0.37  0.40
 -1.19  0.98 -1.51  0.90 -1.56  2.18 -1.93  1.87 -0.97  0.46
  2.12 -2.11  0.70  0.69 -0.24  0.34  0.60  0.15 -0.02  0.46
 -0.54  0.89  1.07  0.20 -0.97  0.83 -0.33  0.91 -1.13  2.22
  0.80 -1.95  2.61  0.59  0.71 -0.84 -0.11  1.27 -0.80 -0.76
  1.58 -0.38  0.10 -0.62  2.27 -0.62  0.74 -0.16  1.34 -1.83
  0.31  1.13 -0.87  1.45 -1.95 -0.51 -0.41  0.49  1.54 -0.69

 
