Mean monthly precipitation, 1907-1972
  0.390    0.000   0.200    0.000     0.040  0.000   0.000   0.000  0.000   0.000  0.000   0.000
  0.600    0.700   0.000    0.050     0.000  0.000   0.100   0.000  0.450   0.000  0.100   0.100
  0.820    0.020   0.660    0.000     0.000  1.810   0.000   0.000  0.020   1.220  0.420   1.200
  1.000    0.000   0.000    0.000     0.000  0.000   0.000   0.000  0.000   0.000  0.000   0.700
  0.000    1.400   0.410    0.000     0.000  0.000   0.070   0.000  0.000   0.010  0.000   0.600
  0.000    0.000   0.400    0.980     0.250  0.000   0.000   0.000  0.000   1.000  0.000   0.000
  0.060    0.350   0.150    0.070     1.590  0.980   2.670   0.350  0.950   0.110  0.270   1.130
  2.340    0.530   0.000    0.470     0.350  0.690   1.580   0.180  0.000   0.140  0.000   0.200
  0.250    1.100   0.500    0.800     0.160  0.000   0.300   0.000  0.400   0.000  0.000   0.300
  2.330    0.010   0.000    0.100     0.040  0.000   0.000   0.460  1.000   1.030  0.000   0.100
  0.200    0.670   0.000    0.300     0.990  0.000   0.000   0.000  0.000   0.000  0.000   0.000
  0.000    1.010   0.290    0.050     0.200  1.290   0.140   0.270  0.710   0.550  0.000   0.310
  0.000    0.770   0.990    0.660     2.210  0.000   0.000   0.000  0.710   0.030  0.000   0.190
  0.110    0.400   0.520    0.000     0.220  0.190   0.000   1.070  0.000   0.000  0.060   0.100
  0.480    0.040   0.000    0.000     3.200  0.000   0.000   0.000  0.600   0.000  0.000   0.400
  0.900    0.290   0.800    0.000     0.100  0.000   0.000   0.120  0.000   0.000  0.000   0.000
  1.040    0.150   0.000    0.840     0.000  1.000   0.000   0.020  0.030   0.000  1.020   0.230
  0.080    0.020   1.130    0.130     0.000  0.000   0.000   0.000  0.000   0.000  0.000   0.250
  0.080    0.000   0.500    2.900     0.000  0.800   0.600   0.920  0.000   1.300  0.000   0.000
  0.000    0.000   0.000    0.050     0.000  0.050   0.000   0.050  0.000   0.000  1.279   0.900
  0.080    0.300   0.000    0.000     0.000  0.000   0.550   0.000  0.000   0.400  0.300   0.000
  0.000    0.050   0.100    0.000     0.000  0.000   0.000   0.000  0.000   0.000  0.220   0.050
  0.210    0.320   0.260    0.200     0.000  0.830   0.070   0.750  0.100   0.000  0.000   0.000
  0.530    0.000   0.300    0.000     2.000  0.000   0.000   0.000  0.050   0.000  0.000   0.000
  0.000    0.800   0.000    0.720     0.460  0.450   0.000   0.590  0.350   0.200  0.700   0.350
  0.150    0.000   0.000    1.180     0.500  0.330   0.000   0.000  0.000   0.000  0.000   0.100
  1.400    0.000   0.050    0.000     0.200  0.000   0.000   0.000  0.000   0.000  0.070   0.400
  0.000    0.000   0.000    0.000     0.000  0.550   0.520   0.400  0.000   0.650  0.000   0.350
  0.400    0.060   0.000    0.200     0.040  0.000   0.000   1.050  0.000   0.000  0.000   0.130
  0.000    1.350   0.200    0.000     0.000  0.000   0.000   0.000  0.000   0.800  0.000   0.800
  0.600    1.100   0.750    0.000     0.000  0.000   0.000   0.000  0.030   0.000  0.000   0.500
  0.000    0.180   1.000    1.770     1.280  0.410   0.210   0.470  0.100   0.590  0.000   0.000
  0.200    0.100   0.830    0.410     0.280  0.000   0.200   0.350  0.250   0.000  0.000   0.000
  0.100    0.050   0.330    0.630     0.530  0.180   0.000   0.000  0.000   1.030  0.020   0.560
  0.000    0.000   0.700    1.120     0.000  0.000   0.930   0.400  0.000   0.760  0.060   0.070
  0.000    0.220   0.040    0.030     0.000  0.210   0.150   0.500  0.000   0.150  0.000   0.000
  1.350    0.040   0.400    0.640     0.020  0.950   0.300   0.000  0.090   0.040  0.750   0.050
  0.400    0.200   0.000    0.050     0.050  0.800   0.000   0.000  0.000   0.120  0.480   0.000
  0.000    0.000   0.870    0.000     0.710  0.460   0.100   2.230  0.000   1.960  0.200   0.030
  0.000    0.100   1.100    0.000     0.480  0.000   0.820   0.000  1.100   1.630  1.260   0.900
  0.000    0.300   0.000    0.420     0.810  0.000   0.000   0.040  0.000   0.100  0.020   0.470
