CAMPITO MNT. TREE RING DATA, N=5405 FROM 3435BC TO 1969AD (IN .01 MM)           
 37. 60. 71. 55. 53. 78. 53. 34. 54. 66. 63. 64. 81. 83. 82. 67. 61. 63.        
 45. 71. 67. 47. 47. 45. 59. 58. 68. 65. 74. 48. 22. 48. 40. 45. 33. 50.        
 47. 43. 52. 55. 41. 49. 53. 59. 49. 64. 64. 75. 63. 51. 50. 55. 56. 61.        
 55. 51. 58. 58. 57. 61. 61. 52. 55. 60. 49. 67. 71. 61. 76. 87. 80. 87.        
 63. 75. 68. 74. 77. 81. 64. 80. 60. 71. 55. 77. 74. 62. 46. 65. 71. 24.        
 30. 52. 68. 52. 58. 68. 56. 58. 62. 41. 48. 56. 55. 56. 49. 50. 55. 50.        
 44. 60. 49. 63. 56. 65. 62. 67. 64. 70. 58. 54. 37. 40. 52. 61. 44. 60.        
 63. 56. 54. 70. 63. 63. 77. 63. 60. 47. 56. 55. 55. 66. 51. 51. 59. 55.        
 50. 50. 56. 56. 57. 48. 55. 56. 45. 38. 40. 41. 49. 44. 51. 50. 40. 60.        
 50. 35. 28. 38. 47. 49. 45. 57. 44. 49. 47. 54. 46. 57. 47. 48. 49. 48.        
 50. 55. 45. 46. 55. 66. 45. 49. 60. 39. 40. 52. 53. 52. 44. 52. 44. 48.        
 50. 47. 37. 46. 35. 39. 43. 42. 40. 49. 53. 43. 48. 22. 48. 43. 47. 43.        
 46. 48. 38. 39. 36. 40. 48. 36. 45. 41. 34. 41. 37. 53. 54. 56. 53. 65.        
 49. 47. 50. 34. 30. 45. 48. 47. 50. 35. 60. 48. 42. 43. 41. 41. 51. 44.        
 62. 50. 46. 52. 50. 51. 55. 53. 59. 43. 56. 53. 49. 50. 50. 53. 58. 42.        
 54. 44. 51. 51. 63. 53. 45. 63. 53. 59. 58. 59. 48. 39. 56. 53. 35. 51.        
 50. 62. 49. 43. 46. 41. 35. 38. 43. 45. 39. 52. 36. 41. 38. 33. 48. 51.        
 48. 40. 45. 42. 38. 43. 52. 42. 44. 48. 46. 51. 57. 44. 47. 53. 42. 39.        
 39. 42. 43. 41. 49. 36. 45. 43. 48. 39. 42. 49. 35. 33. 33. 40. 48. 39.        
 44. 44. 36. 47. 50. 42. 39. 27. 33. 36. 35. 47. 48. 29. 31. 37. 34. 40.        
 30. 34. 42. 46. 41. 39. 35. 38. 33. 45. 36. 37. 40. 40. 38. 35. 40. 27.        
 32. 37. 42. 39. 42. 24. 27. 30. 31. 30. 36. 30. 34. 38. 37. 36. 32. 38.        
 48. 32. 42. 36. 33. 43. 43. 30. 27. 27. 39. 36. 37. 36. 35. 38. 40. 34.        
 37. 32. 27. 33. 33. 43. 36. 39. 30. 31. 23. 32. 34. 43. 46. 41. 45. 37.        
 31. 42. 48. 51. 52. 39. 39. 51. 36. 41. 34. 40. 39. 36. 44. 51. 36. 37.        
 43. 42. 47. 45. 40. 41. 40. 32. 45. 34. 39. 21. 39. 46. 42. 29. 35. 48.        
 33. 27. 40. 34. 33. 40. 35. 29. 35. 33. 34. 26. 30. 36. 25. 32. 36. 46.        
 28. 35. 39. 35. 39. 39. 36. 40. 30. 38. 31. 22. 37. 40. 36. 27. 30. 35.        
 34. 31. 46. 46. 35. 33. 40. 34. 31. 22. 25. 26. 27. 27. 26. 32. 20. 24.        
 14. 27. 26. 30. 28. 23. 32. 34. 34. 34. 39. 44. 44. 32. 43. 43. 38. 47.        
