Intervals between aircraft arrivals in control zone
 467 294  31  20 114 174  47  16 235  64  25 262 116 139 173  31  71 330  73
 51  85  19  18  13 221 120  14  10  39 127 196  39  16 201 325 128  87  62  86
209  91 210 153 153 196  47  42  62 233  65 192 243  39 126 210  14 344  13  21
 16 190  20 292  35  80 123 349 120 327  65  85  34  42  68 189  31 245 122 115
160  19 238  87  86 284  15  30 220 497 129 136  76  10 107  84 240 489  18  21
 36 360 189 255  20 125  29 298 143 450 276  50 105 102  79 278  98  11  31  43
123 156 136  29  97 179 109  12  22  33  27  22  74 621 202 130 124 127  16   9
252  15 139  17 154  22  67 529  33 282 230  96  31  42 147 141 193  34 103   6
149  71 142  81 347 141 176 460  34  39  87 372 210 191  38  32  92 204  20 309
116 113   9 570 431  41  37 257  88 165  21 214   9 163  35  66 211 263   9  26
 11  49 352  97 434 224  14  22  24  13  68 169 145 630
