Monthly closings of the Dow-Jones Industrial Index Aug 1968 - Aug 1981
896.0100 935.7900 952.3899 985.0798 943.7500 946.0500 905.2100
935.4800 950.1799 937.5601 873.2500 815.4700 836.7200 813.0898
855.9900 812.3000 800.3599 744.0601 779.5898 785.5698 736.0698
700.4399 683.5000 734.1199 764.5798 760.6799 755.6099 794.0898
838.8999 868.5000 878.8000 904.3699 941.7500 907.8000 891.1399
858.3999 898.0698 887.1899 839.0000 831.7500 890.2000 902.1699
928.1299 940.7000 954.1699 960.7200 929.0300 924.7400 963.7300
953.2700 955.5200 1018.210 1020.020 999.0200 955.0700 951.0100
921.4300 901.4100 891.7100 926.4000 887.5700 947.1000 956.5800
822.2500 850.8600 855.5500 860.5300 846.6800 836.7500 802.1700
802.4100 757.4300 678.5800 607.8700 665.5200 618.6600 616.2400
703.6900 739.0500 768.1500 821.5100 832.2900 878.9900 831.5100
835.3400 793.8800 836.0400 860.6700 852.4100 975.2800 972.6100
999.4500 996.8500 975.2300 1002.780 984.6400 973.7400 990.1900
964.9300 947.2200 1004.650 954.3700 936.4200 919.1300 926.9000
898.6600 916.3000 890.0700 861.4900 847.1100 818.3500 829.7000
831.1700 769.9200 742.1200 757.3600 837.3200 840.6100 818.9500
862.2700 876.8200 865.8200 792.4500 799.0300 805.0100 839.2200
808.8200 862.1800 854.9000 822.3300 841.9800 846.4200 887.6300
878.6700 815.7000 822.3500 838.7400 875.8500 863.1400 785.7500
817.0600 850.8500 867.9200 935.3200 932.5900 932.4200 924.4900
993.3400 963.9900 947.2700 974.5800 1003.870 997.7500 991.7500
976.8800 952.3400 881.4700

