Quality control data, 5 measurements per day
#Data from Ishikawa, *Guide to Quality Control*, Table 7.2, page 66.
#Each row shows five measurements taken at successive times on a given day:
#6:00, 10:00, 14:00, 18:00, and 22:00.  Thus the 25 rows represent 25 days,
#which we shall assume to be consecutive working days.
14.0 12.6 13.2 13.1 12.1
13.2 13.3 12.7 13.4 12.1
13.5 12.8 13.0 12.8 12.4
13.9 12.4 13.3 13.1 13.2
13.0 13.0 12.1 12.2 13.3
13.7 12.0 12.5 12.4 12.4
13.9 12.1 12.7 13.4 13.0
13.4 13.6 13.0 12.4 13.5
14.4 12.4 12.2 12.4 12.5
13.3 12.4 12.6 12.9 12.8
13.3 12.8 13.0 13.0 13.1
13.6 12.5 13.3 13.5 12.8
13.4 13.3 12.0 13.0 13.1
13.9 13.1 13.5 12.6 12.8
14.2 12.7 12.9 12.9 12.5
13.6 12.6 12.4 12.5 12.2
14.0 13.2 12.4 13.0 13.0
13.1 12.9 13.5 12.3 12.8
14.6 13.7 13.4 12.2 12.5
13.9 13.0 13.0 13.2 12.6
13.3 12.7 12.6 12.8 12.7
13.9 12.4 12.7 12.4 12.8
13.2 12.3 12.6 13.1 12.7
13.2 12.8 12.8 12.3 12.6
13.3 12.8 13.0 12.3 12.2
